지역,성별,총계,19세이하,20∼29,30∼39,40∼49,50∼59,60∼69,70∼79,80∼89,90∼99,100세이상,65세이상,85세이상,20세이상,고령인구비율
동면,계,1864,42,75,64,105,276,586,409,245,59,3,1020,169,1822,54.72
성남면,계,2734,131,167,118,204,447,761,568,268,69,1,1328,182,2603,48.57
수신면,계,1982,73,107,132,153,321,543,379,236,38,0,946,142,1909,47.73
광덕면,계,3950,182,187,236,296,651,1154,769,365,110,0,1857,265,3768,47.01
북면,계,3976,199,231,239,361,680,1169,687,327,81,2,1726,221,3777,43.41
중앙동,계,4395,293,324,430,449,756,1001,731,365,46,0,1660,187,4102,37.77
입장면,계,7328,458,556,548,736,1410,1809,1122,570,118,1,2750,355,6870,37.53
병천면,계,5837,410,672,440,589,1034,1319,844,420,109,0,2056,295,5427,35.22
원성2동,계,8493,650,802,820,921,1600,1795,1161,643,101,0,2856,365,7843,33.63
성환읍,계,21430,2160,2225,1620,2522,4033,4301,2828,1460,274,7,6823,882,19270,31.84
원성1동,계,7469,661,744,682,870,1362,1648,995,413,94,0,2316,255,6808,31.01
목천읍,계,21717,2583,2136,1815,2939,4762,4094,2035,1090,254,9,5384,700,19134,24.79
쌍용1동,계,12178,1358,1755,1546,1552,2020,2278,1151,427,89,2,2848,266,10820,23.39
성정1동,계,16778,1581,1934,2528,2315,3160,2998,1514,647,101,0,3727,338,15197,22.21
풍세면,계,10557,1353,1121,1820,1530,1659,1750,865,366,92,1,2216,244,9204,20.99
봉명동,계,17048,2054,2167,2435,2457,3079,2754,1425,573,104,0,3498,323,14994,20.52
직산읍,계,18957,2303,1998,2364,3034,3718,3118,1525,767,126,4,3837,450,16654,20.24
동남구,계,263653,39275,32380,33208,38667,46219,41287,21234,9430,1916,37,52621,5709,224378,19.96
성거읍,계,21269,3011,2168,2377,3396,4267,3473,1726,727,122,2,4218,430,18258,19.83
쌍용3동,계,16753,2452,2097,1926,2225,3276,2777,1264,615,120,1,3286,370,14301,19.61
일봉동,계,24213,4295,2598,2664,3831,4670,3680,1662,689,119,5,4144,396,19918,17.11
문성동,계,7785,1245,996,1361,1194,1172,1047,526,204,39,1,1293,116,6540,16.61
신안동,계,39066,5332,8484,5467,4859,5660,5355,2707,1007,190,5,6486,596,33734,16.6
천안시,계,666182,110703,84409,98450,108687,111857,88331,41859,18232,3589,65,105051,10924,555479,15.77
쌍용2동,계,33638,5346,5069,4193,4784,6480,4958,1889,756,162,1,4947,452,28292,14.71
성정2동,계,24417,1372,4863,5669,3963,3453,3083,1429,491,90,4,3518,273,23045,14.41
청룡동,계,59960,12101,6431,8671,10350,10079,7378,3355,1337,253,5,8386,736,47859,13.99
서북구,계,402529,71428,52029,65242,70020,65638,47044,20625,8802,1673,28,52430,5215,331101,13.03
신방동,계,42607,7671,5138,5814,7559,8011,5253,2116,882,158,5,5449,517,34936,12.79
백석동,계,40263,9692,4395,5383,8106,6697,3974,1402,501,113,0,3754,306,30571,9.32
부성1동,계,56813,8531,10632,11900,8626,8765,5346,2022,835,153,3,5223,475,48282,9.19
불당1동,계,31541,6765,4117,5246,5656,5753,2825,817,310,51,1,2234,180,24776,7.08
부성2동,계,63877,15601,6513,13920,14041,7605,4209,1371,501,115,1,3737,321,48276,5.85
불당2동,계,37287,10798,3707,6022,9064,5001,1895,565,195,39,1,1528,117,26489,4.1
