읍면동별(1),지역,의료기관수,합계.1,종합병원,종합병원.1,요양병원,요양병원.1,일반병원,일반병원.1,의원,의원.1,특수병원,특수병원.1,치과 병·의원,치과 병·의원.1,한방병원,한방병원.1,한의원,한의원.1,조산원,조산원.1,부속의원,부속의원.1,보건소,보건지소,보건진료소,건강생활지원센터
합계,소계,750,9314,4,2549,16,2818,23,2056,353,775,3,470,189,5,10,596,148,20,-,-,4,25,2,12,18,2
동남구,소계,297,4954,3,2185,10,1837,4,500,134,228,1,189,79,5,-,-,66,10,-,-,-,-,1,8,11,1
,목천읍,14,303,-,-,2,303,-,-,5,-,-,-,4,-,-,-,3,-,-,-,-,-,-,1,1,-
,풍세면,5,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-,1,-,-,-,-,-,-,1,2,-
,광덕면,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-
,북면,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,-
,성남면,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-
,수신면,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
,병천면,11,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-,4,-,-,-,-,-,-,1,1,-
,동면,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
,중앙동,29,377,-,-,2,377,-,-,10,-,-,-,5,-,-,-,12,-,-,-,-,-,-,-,-,-
,문성동,8,189,-,-,-,-,-,-,4,-,1,189,1,-,-,-,2,-,-,-,-,-,1,-,-,-
,원성1동,8,266,-,-,1,94,1,164,3,8,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-
,원성2동,7,13,-,-,-,-,-,-,2,13,-,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-
,봉명동,6,972,1,970,-,-,-,-,3,2,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
,일봉동,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
,신방동,41,52,-,-,-,-,-,-,21,52,-,-,10,-,-,-,10,-,-,-,-,-,-,-,-,-
,청룡동,56,1511,1,293,5,1063,1,100,21,45,-,-,17,-,-,-,11,10,-,-,-,-,-,-,-,1
,신안동,109,1271,1,922,-,-,2,236,59,108,-,-,31,5,-,-,16,-,-,-,-,-,-,-,-,-
서북구,소계,453,4360,1,364,6,981,19,1556,219,547,2,281,110,-,10,596,82,10,-,-,4,25,1,4,7,1
,성환읍,21,53,-,-,-,-,-,-,11,53,-,-,5,-,-,-,5,-,-,-,-,-,-,1,3,-
,성거읍,6,25,-,-,-,-,-,-,4,-,-,-,-,-,-,-,1,-,-,-,1,25,-,1,-,-
,직산읍,18,435,-,-,1,290,-,-,8,58,-,-,4,-,1,87,4,-,-,-,-,-,-,1,2,-
,입장면,10,18,-,-,-,-,-,-,4,18,-,-,3,-,-,-,3,-,-,-,-,-,-,1,2,-
,성정1동,12,32,-,-,-,-,-,-,6,32,-,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-
,성정2동,50,915,-,-,1,98,3,423,25,125,1,226,10,-,1,43,9,-,-,-,-,-,-,-,-,1
,쌍용1동,50,653,1,364,1,70,2,82,31,80,-,-,7,-,1,57,7,-,-,-,-,-,-,-,-,-
,쌍용2동,31,363,-,-,1,187,2,112,18,10,-,-,3,-,1,54,6,-,-,-,-,-,-,-,-,-
,쌍용3동,15,5,-,-,-,-,-,-,7,5,-,-,2,-,-,-,6,-,-,-,-,-,-,-,-,-
,백석동,27,298,-,-,1,231,1,58,14,9,-,-,6,-,-,-,5,-,-,-,-,-,-,-,-,-
,불당1동,27,76,-,-,-,-,-,-,10,21,1,55,10,-,-,-,6,-,-,-,-,-,1,-,-,-
,불당2동,91,906,-,-,-,-,8,725,43,28,-,-,26,-,3,153,11,-,-,-,-,-,-,-,-,-
,부성1동,38,99,-,-,-,-,-,-,13,53,-,-,13,-,1,46,10,-,-,-,1,-,-,-,-,-
,부성2동,57,482,-,-,1,105,3,156,25,55,-,-,18,-,2,156,6,10,-,-,2,-,-,-,-,-
