지역,65세이상,고령인구비율,의료기관수,보건지소,보건진료소,고령인구1000명당의료기관수
동면,1020,54.72,0,1,1,0.0
성남면,1328,48.57,0,1,2,0.0
수신면,946,47.73,0,1,1,0.0
광덕면,1857,47.01,0,1,2,0.0
일봉동,4144,17.11,1,0,0,0.24
북면,1726,43.41,2,1,1,1.16
성거읍,4218,19.83,6,1,0,1.42
봉명동,3498,20.52,6,0,0,1.72
풍세면,2216,20.99,5,1,2,2.26
원성2동,2856,33.63,7,0,0,2.45
목천읍,5384,24.79,14,1,1,2.6
성환읍,6823,31.84,21,1,3,3.08
성정1동,3727,22.21,12,0,0,3.22
원성1동,2316,31.01,8,0,0,3.45
입장면,2750,37.53,10,1,2,3.64
쌍용3동,3286,19.61,15,0,0,4.56
직산읍,3837,20.24,18,1,2,4.69
병천면,2056,35.22,11,1,1,5.35
문성동,1293,16.61,8,0,0,6.19
쌍용2동,4947,14.71,31,0,0,6.27
청룡동,8386,13.99,56,0,0,6.68
백석동,3754,9.32,27,0,0,7.19
부성1동,5223,9.19,38,0,0,7.28
신방동,5449,12.79,41,0,0,7.52
불당1동,2234,7.08,27,0,0,12.09
성정2동,3518,14.41,50,0,0,14.21
부성2동,3737,5.85,57,0,0,15.25
신안동,6486,16.6,109,0,0,16.81
중앙동,1660,37.77,29,0,0,17.47
쌍용1동,2848,23.39,50,0,0,17.56
불당2동,1528,4.1,91,0,0,59.55
