지역,구,전체인구,65세이상,85세이상,고령인구비율,85세이상비율,의료기관수,공공기관수,고령인구1000명당의료기관수,의료접근성분류,독거노인수,고령인구대비 독거노인비율
목천읍,동남구,21717,5384,700,0.2479163788736934,0.0322328130036377,14,2,2.600297176820208,공공기관 거점 활용 후보,1135.0,21.08
풍세면,동남구,10557,2216,244,0.2099081178365066,0.0231126266931893,5,3,2.2563176895306856,공공기관 거점 활용 후보,348.0,15.7
광덕면,동남구,3950,1857,265,0.470126582278481,0.0670886075949367,0,3,0.0,공공기관 거점 활용 후보,448.0,24.12
북면,동남구,3976,1726,221,0.4341046277665996,0.0555835010060362,2,2,1.1587485515643106,공공기관 거점 활용 후보,414.0,23.99
성남면,동남구,2734,1328,182,0.4857351865398683,0.0665691294806144,0,3,0.0,공공기관 거점 활용 후보,308.0,23.19
수신면,동남구,1982,946,142,0.4772956609485368,0.0716448032290615,0,2,0.0,공공기관 거점 활용 후보,221.0,23.36
병천면,동남구,5837,2056,295,0.3522357375364057,0.0505396607846496,11,2,5.350194552529183,의료 접근 양호,494.0,24.03
동면,동남구,1864,1020,169,0.5472103004291845,0.0906652360515021,0,2,0.0,공공기관 거점 활용 후보,285.0,27.94
중앙동,동남구,4395,1660,187,0.3777019340159271,0.0425483503981797,29,0,17.46987951807229,의료 접근 양호,552.0,33.25
문성동,동남구,7785,1293,116,0.1660886319845857,0.0149004495825305,8,1,6.187161639597835,의료 접근 양호,292.0,22.58
원성1동,동남구,7469,2316,255,0.3100816709064132,0.0341411166153434,8,0,3.4542314335060453,일반 관리 지역,492.0,21.24
원성2동,동남구,8493,2856,365,0.3362769339456022,0.0429765689391263,7,0,2.450980392156863,일반 관리 지역,568.0,19.89
봉명동,동남구,17048,3498,323,0.2051853589863913,0.0189465039887376,6,0,1.7152658662092624,방문의료 우선 검토 후보,728.0,20.81
일봉동,동남구,24213,4144,396,0.1711477305579647,0.0163548507000371,1,0,0.2413127413127413,방문의료 우선 검토 후보,613.0,14.79
신방동,동남구,42607,5449,517,0.1278897833689299,0.0121341563592836,41,0,7.524316388328134,의료 접근 양호,776.0,14.24
청룡동,동남구,59960,8386,736,0.1398599066044029,0.0122748498999332,56,1,6.677796327212021,의료 접근 양호,1086.0,12.95
신안동,동남구,39066,6486,596,0.1660267240055291,0.0152562330415194,109,0,16.805427073697196,의료 접근 양호,837.0,12.9
성환읍,서북구,21430,6823,882,0.3183854409706019,0.0411572561829211,21,4,3.0778250036640773,공공기관 거점 활용 후보,1401.0,20.53
성거읍,서북구,21269,4218,430,0.1983167990972777,0.0202172175466641,6,1,1.422475106685633,공공기관 거점 활용 후보,681.0,16.15
직산읍,서북구,18957,3837,450,0.2024054438993511,0.0237379332172812,18,3,4.691164972634871,의료 접근 양호,700.0,18.24
입장면,서북구,7328,2750,355,0.3752729257641921,0.0484443231441048,10,3,3.636363636363636,공공기관 거점 활용 후보,659.0,23.96
성정1동,서북구,16778,3727,338,0.2221361306472762,0.0201454285373703,12,0,3.219747786423397,방문의료 우선 검토 후보,790.0,21.2
성정2동,서북구,24417,3518,273,0.1440799443011017,0.0111807347339968,50,1,14.212620807276863,의료 접근 양호,770.0,21.89
쌍용1동,서북구,12178,2848,266,0.2338643455411397,0.0218426671046148,50,0,17.5561797752809,의료 접근 양호,356.0,12.5
쌍용2동,서북구,33638,4947,452,0.1470658184196444,0.0134371841369879,31,0,6.26642409541136,의료 접근 양호,518.0,10.47
쌍용3동,서북구,16753,3286,370,0.1961439742135736,0.0220855966095624,15,0,4.564820450395618,의료 접근 양호,746.0,22.7
백석동,서북구,40263,3754,306,0.093236966942354,0.0076000298040384,27,0,7.192328183271178,의료 접근 양호,257.0,6.85
불당1동,서북구,31541,2234,180,0.0708284455153609,0.0057068577407184,27,1,12.085944494180842,의료 접근 양호,,
불당2동,서북구,37287,1528,117,0.0409794298280902,0.0031378228336953,91,0,59.55497382198953,의료 접근 양호,,
부성1동,서북구,56813,5223,475,0.0919331843064087,0.0083607625015401,38,0,7.275512157763737,의료 접근 양호,602.0,11.53
부성2동,서북구,63877,3737,321,0.058503060569532,0.0050252829656997,57,0,15.252876639015252,의료 접근 양호,352.0,9.42
