우선순위,지역,구,유형,종합점수,위험등급,위험수준,인구취약점수,의료취약점수,교통취약점수,정책추천
1,동면,동남구,면,87.81,A,우선지원,83.06,87.5,99.03,방문의료 우선 배정 / 독거노인·중증장애인 대상군 우선 확인 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원
2,성남면,동남구,면,78.44,A,우선지원,68.55,81.25,95.79,방문의료 우선 배정 / 독거노인·중증장애인 대상군 우선 확인 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원
3,북면,동남구,면,76.71,A,우선지원,61.78,86.04,93.99,방문의료 우선 배정 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원
4,수신면,동남구,면,76.54,A,우선지원,58.42,87.5,98.14,방문의료 우선 배정 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원
5,광덕면,동남구,면,75.73,A,우선지원,63.25,81.25,94.15,방문의료 우선 배정 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원
6,원성1동,동남구,동,71.85,B,주의,45.5,95.65,89.49,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원 / 인접 공공기관 또는 협력의료기관 거점 지정
7,병천면,동남구,면,71.13,B,주의,52.83,80.76,95.44,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원
8,입장면,서북구,면,68.92,B,주의,53.44,76.67,90.2,집중 모니터링 및 순회방문 / 예약형 셔틀·수요응답형 교통 지원
9,원성2동,동남구,동,68.03,B,주의,45.6,96.91,67.92,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
10,쌍용3동,서북구,동,67.79,B,주의,41.98,94.26,79.53,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
11,성정1동,서북구,동,66.3,B,주의,39.13,95.94,75.53,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
12,봉명동,동남구,동,65.4,B,주의,37.23,97.83,72.05,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
13,성환읍,서북구,읍,63.93,B,주의,50.16,71.12,82.34,집중 모니터링 및 순회방문 / 예약형 셔틀·수요응답형 교통 지원
14,목천읍,동남구,읍,63.49,B,주의,43.37,84.23,72.47,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대
15,일봉동,동남구,동,62.23,B,주의,26.03,99.7,78.1,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
16,중앙동,동남구,동,62.21,B,주의,67.39,78.0,22.93,집중 모니터링 및 순회방문 / 독거노인·중증장애인 대상군 우선 확인 / 인접 공공기관 또는 협력의료기관 거점 지정
17,성거읍,서북구,읍,61.68,B,주의,31.24,91.96,77.19,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대
18,문성동,동남구,동,59.82,C,관심,32.59,92.2,64.41,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
19,직산읍,서북구,읍,59.16,C,관심,33.9,75.34,87.65,정기 건강관리·예방 중심 관리 / 예약형 셔틀·수요응답형 교통 지원
20,풍세면,동남구,면,58.1,C,관심,26.53,78.4,93.57,정기 건강관리·예방 중심 관리 / 예약형 셔틀·수요응답형 교통 지원
21,성정2동,서북구,동,57.93,C,관심,34.85,82.1,67.54,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
22,신방동,동남구,동,57.36,C,관심,23.66,90.53,75.13,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
23,청룡동,동남구,동,55.08,C,관심,27.47,91.59,53.3,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
24,쌍용2동,서북구,동,54.55,C,관심,19.85,92.1,66.92,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
25,쌍용1동,서북구,동,51.31,C,관심,26.77,77.88,60.01,정기 건강관리·예방 중심 관리 / 인접 공공기관 또는 협력의료기관 거점 지정
26,부성1동,서북구,동,50.03,C,관심,16.48,90.83,54.12,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
27,백석동,서북구,동,48.96,C,관심,8.68,90.94,66.12,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
28,신안동,동남구,동,47.1,C,관심,25.68,78.83,39.74,정기 건강관리·예방 중심 관리 / 인접 공공기관 또는 협력의료기관 거점 지정
29,부성2동,서북구,동,46.17,C,관심,8.91,80.79,69.43,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
30,불당1동,서북구,동,43.43,D,일반,6.46,84.77,54.27,현행 서비스 유지 및 지표 모니터링 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
31,불당2동,서북구,동,23.45,D,일반,3.07,25.0,66.6,현행 서비스 유지 및 지표 모니터링 / 인접 공공기관 또는 협력의료기관 거점 지정
