우선순위,지역,구,유형,총계,65세이상,고령인구비율,독거노인수,독거노인비율_고령인구대비,심한장애인수,심한장애인비율_전체인구대비,의료기관수,공공기관수,고령인구1000명당의료기관수,인구취약점수,의료취약점수,교통취약점수,종합점수,위험등급,위험수준,선정이유,핵심취약영역,점수기반_선정설명,정책추천
1,동면,동남구,면,1864,1020,54.72,285,27.94,153,8.21,0,2,0.0,83.06,87.5,99.03,87.81,A,우선지원,"고령인구 비율이 높음, 심한 장애인 비율이 높음, 고령인구 대비 의료기관이 부족함",교통,동면 | 인구취약 83.1점 · 의료취약 87.5점 · 교통취약 99.0점 · 종합 87.8점,방문의료 우선 배정 / 독거노인·중증장애인 대상군 우선 확인 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원
2,성남면,동남구,면,2734,1328,48.57,308,23.19,179,6.55,0,3,0.0,68.55,81.25,95.79,78.44,A,우선지원,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 비율이 높음",교통,성남면 | 인구취약 68.5점 · 의료취약 81.2점 · 교통취약 95.8점 · 종합 78.4점,방문의료 우선 배정 / 독거노인·중증장애인 대상군 우선 확인 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원
3,북면,동남구,면,3976,1726,43.41,414,23.99,188,4.73,2,2,1.16,61.78,86.04,93.99,76.71,A,우선지원,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 비율이 높음",교통,북면 | 인구취약 61.8점 · 의료취약 86.0점 · 교통취약 94.0점 · 종합 76.7점,방문의료 우선 배정 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원
4,수신면,동남구,면,1982,946,47.73,221,23.36,60,3.03,0,2,0.0,58.42,87.5,98.14,76.54,A,우선지원,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 비율이 높음",교통,수신면 | 인구취약 58.4점 · 의료취약 87.5점 · 교통취약 98.1점 · 종합 76.5점,방문의료 우선 배정 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원
5,광덕면,동남구,면,3950,1857,47.01,448,24.12,166,4.2,0,3,0.0,63.25,81.25,94.15,75.73,A,우선지원,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 비율이 높음",교통,광덕면 | 인구취약 63.2점 · 의료취약 81.2점 · 교통취약 94.2점 · 종합 75.7점,방문의료 우선 배정 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원
6,원성1동,동남구,동,7469,2316,31.01,492,21.24,215,2.88,8,0,3.45,45.5,95.65,89.49,71.85,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,원성1동 | 인구취약 45.5점 · 의료취약 95.7점 · 교통취약 89.5점 · 종합 71.8점,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원 / 인접 공공기관 또는 협력의료기관 거점 지정
7,병천면,동남구,면,5837,2056,35.22,494,24.03,192,3.29,11,2,5.35,52.83,80.76,95.44,71.13,B,주의,"대중교통 접근성이 취약함, 고령인구 대비 의료기관이 부족함, 독거노인 비율이 높음",교통,병천면 | 인구취약 52.8점 · 의료취약 80.8점 · 교통취약 95.4점 · 종합 71.1점,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 예약형 셔틀·수요응답형 교통 지원
8,입장면,서북구,면,7328,2750,37.53,659,23.96,190,2.59,10,3,3.64,53.44,76.67,90.2,68.92,B,주의,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 비율이 높음",교통,입장면 | 인구취약 53.4점 · 의료취약 76.7점 · 교통취약 90.2점 · 종합 68.9점,집중 모니터링 및 순회방문 / 예약형 셔틀·수요응답형 교통 지원
9,원성2동,동남구,동,8493,2856,33.63,568,19.89,224,2.64,7,0,2.45,45.6,96.91,67.92,68.03,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,원성2동 | 인구취약 45.6점 · 의료취약 96.9점 · 교통취약 67.9점 · 종합 68.0점,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
10,쌍용3동,서북구,동,16753,3286,19.61,746,22.7,554,3.31,15,0,4.56,41.98,94.26,79.53,67.79,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,쌍용3동 | 인구취약 42.0점 · 의료취약 94.3점 · 교통취약 79.5점 · 종합 67.8점,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
11,성정1동,서북구,동,16778,3727,22.21,790,21.2,348,2.07,12,0,3.22,39.13,95.94,75.53,66.3,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,성정1동 | 인구취약 39.1점 · 의료취약 95.9점 · 교통취약 75.5점 · 종합 66.3점,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
12,봉명동,동남구,동,17048,3498,20.52,728,20.81,359,2.11,6,0,1.72,37.23,97.83,72.05,65.4,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,봉명동 | 인구취약 37.2점 · 의료취약 97.8점 · 교통취약 72.0점 · 종합 65.4점,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
13,성환읍,서북구,읍,21430,6823,31.84,1401,20.53,533,2.49,21,4,3.08,50.16,71.12,82.34,63.93,B,주의,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 지원 규모가 큼",교통,성환읍 | 인구취약 50.2점 · 의료취약 71.1점 · 교통취약 82.3점 · 종합 63.9점,집중 모니터링 및 순회방문 / 예약형 셔틀·수요응답형 교통 지원
