region_code,region_name,period,total_population,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus,age_80_plus
4413125000,목천읍,202606,21717,1996,1195,840,653,700,1353
4413131000,풍세면,202606,10557,892,528,337,215,244,459
4413132000,광덕면,202606,3950,613,468,301,210,265,475
4413133000,북면,202606,3976,629,423,264,189,221,410
4413134000,성남면,202606,2734,422,331,237,156,182,338
4413135000,수신면,202606,1982,293,217,162,132,142,274
4413136000,병천면,202606,5837,683,510,334,234,295,529
4413137000,동면,202606,1864,304,240,169,138,169,307
4413151000,중앙동,202606,4395,518,422,309,224,187,411
4413152000,문성동,202606,7785,523,309,217,128,116,244
4413153000,원성1동,202606,7469,814,568,427,252,255,507
4413154000,원성2동,202606,8493,951,684,477,379,365,744
4413155000,봉명동,202606,17048,1396,843,582,354,323,677
4413156000,일봉동,202606,24213,1669,999,663,417,396,813
4413157000,신방동,202606,42607,2288,1303,813,528,517,1045
4413158000,청룡동,202606,59960,3436,2141,1214,859,736,1595
4413159000,신안동,202606,39066,2577,1642,1065,606,596,1202
4413325000,성환읍,202606,21430,2254,1588,1240,859,882,1741
4413325300,성거읍,202606,21269,1641,1053,673,421,430,851
4413325600,직산읍,202606,18957,1415,956,569,447,450,897
4413331000,입장면,202606,7328,939,683,439,334,355,689
4413351000,성정1동,202606,16778,1465,898,616,410,338,748
4413352000,성정2동,202606,24417,1504,891,538,312,273,585
4413353000,쌍용1동,202606,12178,1179,712,439,252,266,518
4413354000,쌍용2동,202606,33638,2139,1175,714,467,452,919
4413355000,쌍용3동,202606,16753,1286,746,518,366,370,736
4413356000,백석동,202606,40263,1738,898,504,308,306,614
4413356600,불당1동,202606,31541,1055,532,285,182,180,362
4413356700,불당2동,202606,37287,728,362,203,118,117,235
4413358000,부성1동,202606,56813,2210,1205,817,516,475,991
4413359000,부성2동,202606,63877,1749,870,501,296,321,617
