개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,관리주체,데이터갱신시점,도로명주소,병상수,상세영업상태명,상세영업상태코드,영업상태코드,의료기관종별명,의료인수,입원실수,전화번호,좌표정보(X),좌표정보(Y),지번주소,진료과목내용,진료과목내용명,총면적,최종수정시점
4490000,PHMA219844490042021200001,1984-09-20,,영업/정상,,,,12924,330-714,31116,단국대학교치과대학치과병원,치과병원,U,시군구,2026-07-15 22:30:01,충청남도 천안시 동남구 단대로 119 (안서동),0,영업중,13,01,치과병원,139,0,0415500114,215074.474385026    ,370829.421252051    ,충청남도 천안시 동남구 안서동 522번지 133호,412 411 409 408 407 406 405 404 403 402 109,"마취통증의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과",12924,2026-07-14 09:56:27
4490000,PHMA219914490042021200001,1991-09-30,,영업/정상,,,,14118.03,331-958,31099,대전대학교천안한방병원,한방병원,U,시군구,2026-07-09 22:30:01,충청남도 천안시 서북구 노태산로 4 (두정동),99,영업중,13,01,한방병원,36,32,0415217000,211383.265636416    ,369362.008069355    ,충청남도 천안시 서북구 두정동 621번지,301 304 307 308 305 302 303 306 101,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",14118.03,2026-07-08 11:24:05
4490000,PHMA219964490042021200002,1996-11-07,,영업/정상,,,,3692,331-950,31155,혜성산부인과병원,병원,I,시군구,2026-02-19 17:28:49,충청남도 천안시 서북구 미라2길 18-11 (쌍용동),32,영업중,13,01,병원,8,29,0415724567,211574.210404805    ,366623.591368082    ,충청남도 천안시 서북구 쌍용1동 1197번지,110,산부인과,3692,2023-01-12 09:49:11
4490000,PHMA219984490042021200001,1998-05-18,,영업/정상,,,,487.7,,31156,열린치과병원,치과병원,U,시군구,2026-02-28 22:30:02,"충청남도 천안시 서북구 불당25로 176, 율곡스퀘어 5층 504호 (불당동)",0,영업중,13,01,치과병원,2,0,,209665.080510471    ,368317.230536408    ,충청남도 천안시 서북구 불당동 1534번지,407 406 405,"소아치과, 치주과, 치과보존과",487.7,2026-07-16 14:43:57
4490000,PHMA219994490042021200001,1999-08-27,,폐업,2012-03-27,,,0,,,천안충무한방병원,한방병원,I,시군구,2026-02-19 17:28:49,,30,폐업,03,03,한방병원,1,7,,,,충청남도 천안시 쌍용동 542-3,301 302 303 304 305 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과",0,2012-03-27 17:41:55
4490000,PHMA220014490042021200001,2001-10-18,,영업/정상,,,,1120,330-993,31123,문치과병원,치과병원,U,시군구,2026-07-15 22:30:01,"충청남도 천안시 동남구 만남로 52, 9층 (신부동, 문타워빌딩)",5,영업중,13,01,치과병원,8,3,0415632875,214012.423374065    ,368594.262016402    ,충청남도 천안시 동남구 신부동 462번지 7호,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",1120,2026-07-14 09:56:41
4490000,PHMA220024490042021200001,2002-02-05,,영업/정상,,,,6354.32,,31174,이화병원,병원,U,시군구,2026-07-13 22:30:01,"충청남도 천안시 서북구 충무로 165, 외 1(충무로 161) (쌍용동)",63,영업중,13,01,병원,49,26,0415791400,211120.727572482    ,365871.72649329     ,,116 110 105 104 102 101,"내과, 신경과, 외과, 정형외과, 산부인과, 영상의학과",6354.32,2026-07-12 09:52:35
4490000,PHMA220024490042021200002,2002-02-28,,영업/정상,,,,3472.99,331-946,31174,예일병원,병원,U,시군구,2026-04-11 03:03:03,충청남도 천안시 서북구 충무로 129 (쌍용동),50,영업중,13,01,병원,19,17,0415717000,210794.095013441    ,365749.255785514    ,충청남도 천안시 서북구 쌍용1동 446번지 14호,101 104,"내과, 외과",3472.99,2026-04-10 15:55:29
4490000,PHMA220034490042021200001,2003-01-09,,영업/정상,,,,628,330-986,31193,고려치과병원,치과병원,I,시군구,2026-02-19 17:28:49,충청남도 천안시 동남구 충절로 283 (구성동),0,영업중,13,01,치과병원,2,0,0415642875,214253.403750684    ,365847.80519461     ,충청남도 천안시 동남구 구성동 293번지 49호,411 408 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 구강내과, 예방치과",628,2025-01-22 15:21:30
4490000,PHMA220044490042021200001,2004-09-22,,영업/정상,,,,6940.85,,31211,천안우리병원,병원,U,시군구,2026-07-08 22:30:01,충청남도 천안시 동남구 남부대로 350 (청당동),100,영업중,13,01,병원,71,26,0415909000,213848.410741262    ,364412.4219861      ,충청남도 천안시 동남구 청당동 151번지,124 122 116 109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과, 직업환경의학과",6940.85,2026-07-07 13:17:00
