질병코드,질병명,진료년월,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금,월평균기온,월평균_최저기온,월평균_최고기온,월평균_일교차,월최대_일교차,한파일수_비율,폭염일수_비율,월평균습도,월총강수량,월평균기압,월평균_PM10,월최대_PM10,PM10_나쁨일수,월평균_PM25,월최대_PM25
J20,급성 기관지염,2010-01,278050.0,446122.0,431164.0,5790560.0,4559229.0,-1.57,-6.4,3.66,10.06,22.5,0.16,0.0,62.75,34.36,1010.25,48.36,98.13,2,,
J20,급성 기관지염,2010-02,240881.0,375554.0,364976.0,4818171.0,3792531.0,2.42,-1.83,7.16,8.99,25.5,0.03,0.0,65.29,86.66,1008.05,41.59,83.52,1,,
J20,급성 기관지염,2010-03,240890.0,387695.0,375574.0,5057141.0,3974294.0,5.41,1.17,9.78,8.61,22.7,0.0,0.0,65.66,97.88,1007.24,59.17,174.83,7,,
J20,급성 기관지염,2010-04,298896.0,494396.0,478976.0,6440660.0,5065162.0,9.71,4.5,15.2,10.7,24.2,0.0,0.0,60.35,99.9,1005.35,49.38,85.89,1,,
J20,급성 기관지염,2010-05,280612.0,471419.0,455318.0,6350892.0,4971386.0,16.84,11.47,22.64,11.16,25.9,0.0,0.0,65.85,125.95,998.81,54.54,136.5,5,,
J20,급성 기관지염,2010-06,202998.0,339082.0,326319.0,4622847.0,3599943.0,22.0,17.26,27.55,10.28,23.4,0.0,0.02,70.07,75.04,997.69,48.66,115.88,2,,
J20,급성 기관지염,2010-07,143422.0,237039.0,227583.0,3260660.0,2533937.0,25.15,22.1,29.25,7.15,14.5,0.0,0.08,80.13,257.87,996.27,31.35,65.41,0,,
J20,급성 기관지염,2010-08,122068.0,195881.0,188342.0,2664411.0,2068317.0,26.69,23.71,30.88,7.17,16.0,0.0,0.24,81.92,364.9,998.8,33.58,62.5,0,,
J20,급성 기관지염,2010-09,201231.0,309570.0,301066.0,4014894.0,3149731.0,21.73,17.95,26.78,8.83,19.5,0.0,0.04,78.23,255.24,1001.24,32.99,83.31,1,,
J20,급성 기관지염,2010-10,282466.0,454754.0,441521.0,5775082.0,4552001.0,14.48,9.7,20.4,10.7,21.5,0.0,0.0,71.84,44.44,1006.16,49.23,91.53,2,,
J20,급성 기관지염,2010-11,284486.0,460440.0,446521.0,5896028.0,4639026.0,7.05,1.42,13.5,12.07,22.5,0.0,0.0,60.37,11.95,1008.07,71.32,167.89,7,,
J20,급성 기관지염,2010-12,327639.0,537679.0,521510.0,6920288.0,5417964.0,1.04,-3.8,6.38,10.18,22.1,0.07,0.0,61.42,32.99,1003.99,57.96,149.82,8,,
J20,급성 기관지염,2011-01,347532.0,592868.0,570144.0,7976787.0,6254593.0,-4.6,-9.56,0.55,10.12,23.4,0.32,0.0,55.76,9.23,1012.44,38.21,57.97,0,,
J20,급성 기관지염,2011-02,276567.0,437704.0,423388.0,5913637.0,4641971.0,1.93,-3.15,7.87,11.02,25.3,0.03,0.0,64.68,64.64,1008.38,65.32,135.42,8,,
J20,급성 기관지염,2011-03,310482.0,504575.0,489398.0,6690815.0,5277442.0,4.57,-0.8,10.33,11.13,24.8,0.0,0.0,52.07,25.29,1008.08,64.8,265.38,4,,
J20,급성 기관지염,2011-04,305028.0,496736.0,482450.0,6568399.0,5177775.0,11.09,5.11,17.21,12.1,26.7,0.0,0.0,59.35,113.75,1001.66,56.56,99.4,4,,
J20,급성 기관지염,2011-05,286134.0,480478.0,464445.0,6625778.0,5185528.0,17.08,12.08,22.53,10.44,24.0,0.0,0.0,66.78,126.03,998.86,74.0,269.72,10,,
J20,급성 기관지염,2011-06,210819.0,353047.0,340961.0,4892246.0,3817786.0,21.69,17.43,26.8,9.36,19.8,0.0,0.02,73.79,281.59,994.88,44.59,76.24,0,,
J20,급성 기관지염,2011-07,143630.0,234604.0,226088.0,3296057.0,2564603.0,24.93,22.01,28.8,6.79,16.1,0.0,0.08,82.07,462.82,994.3,29.49,66.6,0,,
J20,급성 기관지염,2011-08,139314.0,224304.0,216687.0,3109533.0,2423453.0,24.96,22.08,28.96,6.87,14.9,0.0,0.08,82.18,280.06,996.64,30.26,50.87,0,,
J20,급성 기관지염,2011-09,202243.0,324611.0,315478.0,4305316.0,3379651.0,20.92,16.72,26.2,9.48,21.8,0.0,0.03,73.37,76.07,1000.12,34.82,60.4,0,,
J20,급성 기관지염,2011-10,257844.0,414341.0,403869.0,5370351.0,4245954.0,13.82,8.59,20.14,11.55,23.2,0.0,0.0,68.95,55.46,1007.3,47.56,70.02,0,,
J20,급성 기관지염,2011-11,291994.0,468465.0,456879.0,6017145.0,4763585.0,11.01,6.86,15.97,9.11,20.6,0.0,0.0,70.85,117.67,1009.61,41.58,85.48,1,,
J20,급성 기관지염,2011-12,355916.0,566285.0,561302.0,7264029.0,5756964.0,0.86,-3.4,5.57,8.97,23.3,0.06,0.0,59.14,19.72,1013.22,38.54,76.03,0,,
J20,급성 기관지염,2012-01,432688.0,707574.0,697376.0,9939436.0,7832771.0,-0.99,-5.43,3.9,9.33,22.1,0.12,0.0,58.59,18.17,1011.59,51.46,111.02,2,,
J20,급성 기관지염,2012-02,455218.0,774592.0,758766.0,11314449.0,8904704.0,-0.67,-5.54,4.67,10.21,24.3,0.12,0.0,55.34,15.71,1009.66,47.49,97.92,1,,
J20,급성 기관지염,2012-03,400461.0,665295.0,655460.0,9297973.0,7333499.0,5.64,1.03,10.56,9.52,24.0,0.0,0.0,60.89,93.72,1006.22,51.53,140.08,2,,
J20,급성 기관지염,2012-04,368485.0,610665.0,601522.0,8542624.0,6713744.0,12.47,6.62,18.58,11.96,26.6,0.0,0.0,60.29,139.37,1000.79,50.5,104.39,4,,
J20,급성 기관지염,2012-05,309605.0,508355.0,502171.0,7046038.0,5538957.0,18.12,12.79,24.28,11.48,23.4,0.0,0.0,63.61,41.9,998.9,58.65,111.89,4,,
