진료년월,월평균_PM10,월최대_PM10,PM10_나쁨일수,월평균_PM25,월최대_PM25
2010-01,48.36,98.13,2,,
2010-02,41.59,83.52,1,,
2010-03,59.17,174.83,7,,
2010-04,49.38,85.89,1,,
2010-05,54.54,136.5,5,,
2010-06,48.66,115.88,2,,
2010-07,31.35,65.41,0,,
2010-08,33.58,62.5,0,,
2010-09,32.99,83.31,1,,
2010-10,49.23,91.53,2,,
2010-11,71.32,167.89,7,,
2010-12,57.96,149.82,8,,
2011-01,38.21,57.97,0,,
2011-02,65.32,135.42,8,,
2011-03,64.8,265.38,4,,
2011-04,56.56,99.4,4,,
2011-05,74.0,269.72,10,,
2011-06,44.59,76.24,0,,
2011-07,29.49,66.6,0,,
2011-08,30.26,50.87,0,,
2011-09,34.82,60.4,0,,
2011-10,47.56,70.02,0,,
2011-11,41.58,85.48,1,,
2011-12,38.54,76.03,0,,
2012-01,51.46,111.02,2,,
2012-02,47.49,97.92,1,,
2012-03,51.53,140.08,2,,
2012-04,50.5,104.39,4,,
2012-05,58.65,111.89,4,,
2012-06,39.35,70.22,0,,
2012-07,26.6,53.64,0,,
2012-08,23.66,45.18,0,,
2012-09,34.0,79.18,0,,
2012-10,35.79,55.52,0,,
2012-11,42.89,109.03,3,,
2012-12,38.73,66.0,0,,
2013-01,55.97,152.15,5,,
2013-02,45.09,85.8,1,,
2013-03,52.46,143.47,3,,
2013-04,53.16,144.42,2,,
2013-05,55.32,107.91,3,,
2013-06,41.31,67.49,0,,
2013-07,32.25,84.67,1,,
2013-08,34.84,64.25,0,,
2013-09,32.75,81.3,1,,
2013-10,34.5,60.86,0,,
2013-11,41.19,78.27,0,,
2013-12,46.82,102.55,3,,
2014-01,54.36,116.93,3,,
2014-02,56.51,139.72,7,,
2014-03,55.51,128.39,3,,
2014-04,54.72,99.35,2,,
2014-05,64.17,163.21,6,,
2014-06,40.82,100.38,1,,
2014-07,35.9,83.56,1,,
2014-08,28.93,75.76,0,,
2014-09,32.08,53.27,0,,
2014-10,37.67,74.01,0,,
2014-11,38.68,59.2,0,,
2014-12,38.06,107.27,2,,
2015-01,48.74,86.16,1,,
2015-02,69.15,312.54,7,,
2015-03,67.61,148.68,9,,
2015-04,45.62,83.36,1,,
2015-05,47.89,101.84,1,,
2015-06,44.2,89.52,1,30.28,52.04
2015-07,35.26,82.22,1,22.16,56.73
2015-08,35.78,69.88,0,25.37,65.89
2015-09,29.05,50.61,0,22.25,46.31
2015-10,47.68,111.92,4,41.61,119.67
2015-11,40.04,90.85,3,37.77,91.87
2015-12,46.68,85.95,1,43.82,79.75
2016-01,46.38,77.1,0,35.48,84.29
2016-02,43.41,77.09,0,29.07,70.08
2016-03,59.6,120.08,3,35.3,56.25
2016-04,66.56,210.05,5,31.56,73.25
2016-05,52.43,107.01,3,26.83,52.44
2016-06,45.05,67.56,0,26.24,40.54
2016-07,30.0,53.8,0,17.4,29.82
2016-08,39.1,65.65,0,22.77,42.43
2016-09,41.34,66.61,0,23.83,36.89
2016-10,44.66,100.52,2,23.92,61.44
2016-11,51.18,86.23,2,30.57,65.06
2016-12,43.78,75.88,0,29.21,61.17
2017-01,49.39,89.3,3,28.39,61.19
2017-02,44.13,85.1,1,24.54,61.54
2017-03,58.79,99.58,1,34.48,69.85
2017-04,57.84,123.4,3,25.03,47.81
2017-05,63.27,237.67,6,23.8,52.5
2017-06,41.29,65.96,0,22.96,36.56
2017-07,33.03,52.57,0,19.21,33.41
2017-08,27.87,48.7,0,14.57,28.66
2017-09,39.77,75.53,0,22.16,45.73
2017-10,38.13,76.65,0,19.35,46.46
2017-11,46.43,81.06,1,25.28,49.64
2017-12,44.25,102.66,2,26.28,74.24
2018-01,51.65,102.53,5,30.77,73.72
2018-02,49.58,78.12,0,26.82,48.39
2018-03,47.45,95.74,3,28.22,66.85
2018-04,51.14,90.59,2,21.44,41.99
2018-05,41.91,88.94,2,19.45,35.57
2018-06,36.21,56.36,0,21.35,37.25
2018-07,23.09,40.3,0,12.8,26.67
2018-08,23.72,35.77,0,12.85,20.92
2018-09,22.11,39.58,0,9.67,19.35
2018-10,31.75,65.8,0,15.71,37.33
2018-11,59.81,145.15,5,34.91,79.43
2018-12,45.26,90.28,2,25.53,66.81
2019-01,62.48,146.64,5,37.36,114.77
2019-02,58.37,119.64,3,36.08,85.07
2019-03,67.34,169.14,6,43.31,117.72
2019-04,43.43,88.23,1,22.26,42.97
2019-05,52.71,97.81,2,27.67,58.0
2019-06,34.02,53.02,0,22.48,37.58
2019-07,26.45,49.1,0,17.02,37.26
2019-08,28.76,52.0,0,17.45,38.33
2019-09,26.83,60.44,0,14.32,41.58
2019-10,38.65,83.11,1,19.95,37.4
2019-11,45.76,87.3,1,24.44,48.18
2019-12,42.49,89.34,1,28.77,61.88
2020-01,45.96,80.29,0,31.69,62.0
2020-02,44.64,88.55,2,30.11,67.05
2020-03,48.45,85.07,1,26.43,64.21
2020-04,45.17,83.12,2,20.39,32.54
2020-05,35.78,75.82,0,19.42,31.49
2020-06,35.14,61.11,0,19.55,32.44
2020-07,22.23,42.09,0,12.92,29.12
2020-08,24.21,39.74,0,13.33,26.84
2020-09,24.78,44.3,0,13.18,24.9
2020-10,39.42,73.16,0,20.33,44.45
2020-11,42.58,83.79,1,25.33,58.03
2020-12,42.41,79.2,0,27.34,58.99
2021-01,44.71,103.5,2,24.86,42.83
2021-02,52.24,95.49,5,31.66,76.72
2021-03,79.25,488.35,8,34.77,82.85
2021-04,47.13,87.21,2,20.69,39.47
2021-05,63.56,415.67,5,22.34,88.09
2021-06,35.11,59.05,0,20.78,31.83
2021-07,23.76,48.44,0,13.41,33.59
2021-08,23.16,41.28,0,12.85,29.58
2021-09,18.51,28.44,0,8.9,16.16
2021-10,32.51,52.8,0,16.96,31.92
2021-11,44.31,106.04,2,24.99,76.14
2021-12,42.72,92.94,1,26.03,60.41
2022-01,45.28,99.93,2,30.3,78.42
2022-02,43.52,98.52,3,27.8,77.25
2022-03,47.08,100.94,2,25.31,48.17
2022-04,45.16,156.52,1,21.83,35.7
2022-05,34.82,58.75,0,17.23,32.95
2022-06,22.86,38.95,0,11.41,22.52
2022-07,25.53,41.38,0,14.66,27.3
2022-08,18.85,28.62,0,8.91,16.69
2022-09,26.57,50.21,0,13.73,35.64
2022-10,34.23,60.12,0,19.27,42.75
2022-11,46.78,92.22,2,27.94,66.92
2022-12,38.29,113.42,1,22.24,36.61
2023-01,51.29,149.56,4,27.61,89.0
2023-02,53.91,107.32,4,35.06,77.85
2023-03,70.44,140.77,8,29.72,56.32
2023-04,75.03,306.24,8,25.07,84.74
2023-05,40.44,160.02,2,18.52,35.59
2023-06,28.16,41.52,0,16.42,24.93
2023-07,24.37,50.19,0,13.8,34.94
2023-08,24.84,36.55,0,13.61,23.92
2023-09,24.84,46.25,0,13.31,29.29
2023-10,33.9,53.61,0,17.48,34.21
2023-11,32.71,88.83,1,18.39,43.56
2023-12,40.95,86.45,1,25.71,63.86
2024-01,39.26,86.36,1,27.15,60.07
2024-02,36.49,91.17,1,25.69,70.28
2024-03,50.11,145.58,5,24.3,63.03
2024-04,52.03,140.01,3,24.05,38.31
2024-05,32.19,79.66,0,17.11,36.2
2024-06,30.19,50.03,0,17.05,23.56
2024-07,18.74,39.2,0,10.08,27.6
2024-08,25.45,37.69,0,15.2,24.67
2024-09,20.46,33.15,0,10.78,20.87
2024-10,29.25,60.21,0,16.43,36.53
2024-11,32.89,53.31,0,19.99,36.49
2024-12,32.43,55.49,0,18.56,33.45
2025-01,38.81,90.37,1,25.47,70.35
2025-02,35.0,68.36,0,19.43,46.18
2025-03,52.07,133.94,4,28.35,50.89
2025-04,40.1,64.57,0,21.1,33.95
2025-05,30.51,51.16,0,18.05,30.71
