진료년월,월평균기온,월평균_최저기온,월평균_최고기온,월평균_일교차,월최대_일교차,한파일수_비율,폭염일수_비율,월평균습도,월총강수량,월평균기압
2010-01,-1.57,-6.4,3.66,10.06,22.5,0.16,0.0,62.75,34.36,1010.25
2010-02,2.42,-1.83,7.16,8.99,25.5,0.03,0.0,65.29,86.66,1008.05
2010-03,5.41,1.17,9.78,8.61,22.7,0.0,0.0,65.66,97.88,1007.24
2010-04,9.71,4.5,15.2,10.7,24.2,0.0,0.0,60.35,99.9,1005.35
2010-05,16.84,11.47,22.64,11.16,25.9,0.0,0.0,65.85,125.95,998.81
2010-06,22.0,17.26,27.55,10.28,23.4,0.0,0.02,70.07,75.04,997.69
2010-07,25.15,22.1,29.25,7.15,14.5,0.0,0.08,80.13,257.87,996.27
2010-08,26.69,23.71,30.88,7.17,16.0,0.0,0.24,81.92,364.9,998.8
2010-09,21.73,17.95,26.78,8.83,19.5,0.0,0.04,78.23,255.24,1001.24
2010-10,14.48,9.7,20.4,10.7,21.5,0.0,0.0,71.84,44.44,1006.16
2010-11,7.05,1.42,13.5,12.07,22.5,0.0,0.0,60.37,11.95,1008.07
2010-12,1.04,-3.8,6.38,10.18,22.1,0.07,0.0,61.42,32.99,1003.99
2011-01,-4.6,-9.56,0.55,10.12,23.4,0.32,0.0,55.76,9.23,1012.44
2011-02,1.93,-3.15,7.87,11.02,25.3,0.03,0.0,64.68,64.64,1008.38
2011-03,4.57,-0.8,10.33,11.13,24.8,0.0,0.0,52.07,25.29,1008.08
2011-04,11.09,5.11,17.21,12.1,26.7,0.0,0.0,59.35,113.75,1001.66
2011-05,17.08,12.08,22.53,10.44,24.0,0.0,0.0,66.78,126.03,998.86
2011-06,21.69,17.43,26.8,9.36,19.8,0.0,0.02,73.79,281.59,994.88
2011-07,24.93,22.01,28.8,6.79,16.1,0.0,0.08,82.07,462.82,994.3
2011-08,24.96,22.08,28.96,6.87,14.9,0.0,0.08,82.18,280.06,996.64
2011-09,20.92,16.72,26.2,9.48,21.8,0.0,0.03,73.37,76.07,1000.12
2011-10,13.82,8.59,20.14,11.55,23.2,0.0,0.0,68.95,55.46,1007.3
2011-11,11.01,6.86,15.97,9.11,20.6,0.0,0.0,70.85,117.67,1009.61
2011-12,0.86,-3.4,5.57,8.97,23.3,0.06,0.0,59.14,19.72,1013.22
2012-01,-0.99,-5.43,3.9,9.33,22.1,0.12,0.0,58.59,18.17,1011.59
2012-02,-0.67,-5.54,4.67,10.21,24.3,0.12,0.0,55.34,15.71,1009.66
2012-03,5.64,1.03,10.56,9.52,24.0,0.0,0.0,60.89,93.72,1006.22
2012-04,12.47,6.62,18.58,11.96,26.6,0.0,0.0,60.29,139.37,1000.79
2012-05,18.12,12.79,24.28,11.48,23.4,0.0,0.0,63.61,41.9,998.9
2012-06,21.83,17.74,26.93,9.19,18.9,0.0,0.01,71.8,76.82,995.41
2012-07,25.24,21.88,29.45,7.57,16.4,0.0,0.18,80.73,291.53,994.07
2012-08,26.22,22.94,30.43,7.49,18.2,0.0,0.24,79.18,411.2,996.61
2012-09,20.04,16.1,25.08,8.98,18.7,0.0,0.0,78.17,255.58,1001.15
2012-10,14.34,8.89,20.93,12.04,22.9,0.0,0.0,68.84,55.53,1005.52
2012-11,6.7,2.15,11.76,9.62,22.0,0.0,0.0,63.55,57.96,1005.93
2012-12,-1.38,-5.64,3.27,8.9,23.9,0.15,0.0,65.81,67.07,1009.93
2013-01,-1.79,-6.5,3.38,9.88,23.4,0.19,0.0,64.03,27.71,1011.95
2013-02,0.81,-3.99,5.85,9.85,24.4,0.07,0.0,58.13,52.03,1010.65
2013-03,6.58,0.36,13.42,13.05,29.2,0.0,0.0,58.45,62.93,1004.2
2013-04,10.19,4.38,16.18,11.8,28.7,0.0,0.0,60.04,76.95,1000.38
2013-05,17.59,11.9,23.86,11.96,25.1,0.0,0.01,66.71,133.28,999.3
2013-06,22.27,18.33,27.27,8.94,20.2,0.0,0.01,75.99,101.82,995.9
2013-07,26.03,23.08,29.89,6.81,15.6,0.0,0.12,81.17,297.67,994.01
2013-08,27.04,23.25,32.03,8.77,17.1,0.0,0.4,77.8,158.83,994.95
2013-09,21.03,16.91,26.25,9.34,19.5,0.0,0.0,76.49,112.9,1002.52
2013-10,15.41,10.44,21.52,11.08,22.3,0.0,0.0,71.9,57.34,1006.96
2013-11,7.17,2.45,12.61,10.17,19.5,0.0,0.0,66.53,61.88,1006.94
2013-12,1.61,-2.75,6.5,9.25,21.0,0.03,0.0,65.02,22.08,1008.32
2014-01,0.64,-4.6,6.36,10.96,25.6,0.06,0.0,58.1,13.86,1011.15
2014-02,2.55,-2.0,7.82,9.82,22.1,0.01,0.0,64.05,32.95,1011.17
2014-03,7.59,2.15,13.34,11.19,24.3,0.0,0.0,62.0,82.3,1006.59
2014-04,13.16,7.44,19.59,12.14,26.9,0.0,0.0,59.9,86.98,1004.14
2014-05,18.11,11.97,24.7,12.73,25.2,0.0,0.03,60.41,67.73,998.6
2014-06,21.51,17.67,26.42,8.75,19.5,0.0,0.01,74.66,79.35,994.41
2014-07,24.75,21.17,29.36,8.19,19.3,0.0,0.13,78.58,167.06,995.34
2014-08,23.59,20.72,27.48,6.76,15.9,0.0,0.03,83.08,393.94,996.03
