행정구역,구,전체인구,65세이상,85세이상,고령인구비율,85세이상비율,의료기관수,공공기관수,고령인구1000명당의료기관수,의료접근성분류
목천읍,동남구,21717,5384,700,0.24791637887369342,0.0322328130036377,14,2,2.6002971768202077,공공기관 거점 활용 후보
풍세면,동남구,10557,2216,244,0.2099081178365066,0.023112626693189354,5,3,2.2563176895306856,공공기관 거점 활용 후보
광덕면,동남구,3950,1857,265,0.47012658227848103,0.0670886075949367,0,3,0.0,공공기관 거점 활용 후보
북면,동남구,3976,1726,221,0.4341046277665996,0.05558350100603622,2,2,1.1587485515643106,공공기관 거점 활용 후보
성남면,동남구,2734,1328,182,0.4857351865398683,0.06656912948061448,0,3,0.0,공공기관 거점 활용 후보
수신면,동남구,1982,946,142,0.4772956609485368,0.07164480322906155,0,2,0.0,공공기관 거점 활용 후보
병천면,동남구,5837,2056,295,0.3522357375364057,0.05053966078464965,11,2,5.3501945525291825,의료 접근 양호
동면,동남구,1864,1020,169,0.5472103004291845,0.09066523605150215,0,2,0.0,공공기관 거점 활용 후보
중앙동,동남구,4395,1660,187,0.37770193401592717,0.04254835039817975,29,0,17.46987951807229,의료 접근 양호
문성동,동남구,7785,1293,116,0.16608863198458573,0.014900449582530508,8,1,6.187161639597835,의료 접근 양호
원성1동,동남구,7469,2316,255,0.3100816709064132,0.03414111661534342,8,0,3.4542314335060453,일반 관리 지역
원성2동,동남구,8493,2856,365,0.33627693394560226,0.04297656893912634,7,0,2.450980392156863,일반 관리 지역
봉명동,동남구,17048,3498,323,0.20518535898639137,0.018946503988737682,6,0,1.7152658662092624,방문의료 우선 검토 후보
일봉동,동남구,24213,4144,396,0.17114773055796473,0.01635485070003717,1,0,0.2413127413127413,방문의료 우선 검토 후보
신방동,동남구,42607,5449,517,0.12788978336892998,0.012134156359283686,41,0,7.524316388328134,의료 접근 양호
청룡동,동남구,59960,8386,736,0.13985990660440292,0.012274849899933288,56,1,6.677796327212021,의료 접근 양호
신안동,동남구,39066,6486,596,0.1660267240055291,0.01525623304151948,109,0,16.805427073697196,의료 접근 양호
성환읍,서북구,21430,6823,882,0.31838544097060195,0.04115725618292114,21,4,3.0778250036640773,공공기관 거점 활용 후보
성거읍,서북구,21269,4218,430,0.19831679909727773,0.020217217546664158,6,1,1.422475106685633,공공기관 거점 활용 후보
직산읍,서북구,18957,3837,450,0.20240544389935117,0.023737933217281217,18,3,4.691164972634871,의료 접근 양호
입장면,서북구,7328,2750,355,0.37527292576419213,0.0484443231441048,10,3,3.6363636363636362,공공기관 거점 활용 후보
성정1동,서북구,16778,3727,338,0.2221361306472762,0.020145428537370367,12,0,3.219747786423397,방문의료 우선 검토 후보
성정2동,서북구,24417,3518,273,0.1440799443011017,0.011180734733996806,50,1,14.212620807276863,의료 접근 양호
쌍용1동,서북구,12178,2848,266,0.23386434554113977,0.02184266710461488,50,0,17.5561797752809,의료 접근 양호
쌍용2동,서북구,33638,4947,452,0.14706581841964445,0.013437184136987931,31,0,6.26642409541136,의료 접근 양호
쌍용3동,서북구,16753,3286,370,0.19614397421357369,0.022085596609562465,15,0,4.564820450395618,의료 접근 양호
백석동,서북구,40263,3754,306,0.09323696694235402,0.007600029804038447,27,0,7.192328183271178,의료 접근 양호
불당1동,서북구,31541,2234,180,0.07082844551536095,0.00570685774071843,27,1,12.085944494180842,의료 접근 양호
불당2동,서북구,37287,1528,117,0.04097942982809022,0.00313782283369539,91,0,59.55497382198953,의료 접근 양호
부성1동,서북구,56813,5223,475,0.09193318430640875,0.00836076250154014,38,0,7.275512157763737,의료 접근 양호
부성2동,서북구,63877,3737,321,0.05850306056953207,0.005025282965699704,57,0,15.252876639015252,의료 접근 양호
