우선순위,지역,구,유형,총계,65세이상,고령인구비율,독거노인수,독거노인비율_고령인구대비,심한장애인수,심한장애인비율_전체인구대비,의료기관수,공공기관수,고령인구1000명당의료기관수,인구취약점수,의료취약점수,교통취약점수,종합점수,위험등급,위험수준,선정이유
1,동면,동남구,면,1864,1020,54.72,285,27.94,153,8.21,0,2,0.0,83.06,87.5,99.03,87.81,A,우선지원,"고령인구 비율이 높음, 심한 장애인 비율이 높음, 고령인구 대비 의료기관이 부족함"
2,성남면,동남구,면,2734,1328,48.57,308,23.19,179,6.55,0,3,0.0,68.55,81.25,95.79,78.44,A,우선지원,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 비율이 높음"
3,북면,동남구,면,3976,1726,43.41,414,23.99,188,4.73,2,2,1.16,61.78,86.04,93.99,76.71,A,우선지원,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 비율이 높음"
4,수신면,동남구,면,1982,946,47.73,221,23.36,60,3.03,0,2,0.0,58.42,87.5,98.14,76.54,A,우선지원,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 비율이 높음"
5,광덕면,동남구,면,3950,1857,47.01,448,24.12,166,4.2,0,3,0.0,63.25,81.25,94.15,75.73,A,우선지원,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 비율이 높음"
6,원성1동,동남구,동,7469,2316,31.01,492,21.24,215,2.88,8,0,3.45,45.5,95.65,89.49,71.85,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
7,병천면,동남구,면,5837,2056,35.22,494,24.03,192,3.29,11,2,5.35,52.83,80.76,95.44,71.13,B,주의,"대중교통 접근성이 취약함, 고령인구 대비 의료기관이 부족함, 독거노인 비율이 높음"
8,입장면,서북구,면,7328,2750,37.53,659,23.96,190,2.59,10,3,3.64,53.44,76.67,90.2,68.92,B,주의,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 비율이 높음"
9,원성2동,동남구,동,8493,2856,33.63,568,19.89,224,2.64,7,0,2.45,45.6,96.91,67.92,68.03,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
10,쌍용3동,서북구,동,16753,3286,19.61,746,22.7,554,3.31,15,0,4.56,41.98,94.26,79.53,67.79,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
11,성정1동,서북구,동,16778,3727,22.21,790,21.2,348,2.07,12,0,3.22,39.13,95.94,75.53,66.3,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
12,봉명동,동남구,동,17048,3498,20.52,728,20.81,359,2.11,6,0,1.72,37.23,97.83,72.05,65.4,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
13,성환읍,서북구,읍,21430,6823,31.84,1401,20.53,533,2.49,21,4,3.08,50.16,71.12,82.34,63.93,B,주의,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 지원 규모가 큼"
14,목천읍,동남구,읍,21717,5384,24.79,1135,21.08,482,2.22,14,2,2.6,43.37,84.23,72.47,63.49,B,주의,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
15,일봉동,동남구,동,24213,4144,17.11,613,14.79,351,1.45,1,0,0.24,26.03,99.7,78.1,62.23,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
16,중앙동,동남구,동,4395,1660,37.77,552,33.25,163,3.71,29,0,17.47,67.39,78.0,22.93,62.21,B,주의,"독거노인 비율이 높음, 공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함"
17,성거읍,서북구,읍,21269,4218,19.83,681,16.15,424,1.99,6,1,1.42,31.24,91.96,77.19,61.68,B,주의,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 공공 보건기관이 부족함"
18,문성동,동남구,동,7785,1293,16.61,292,22.58,125,1.61,8,0,6.19,32.59,92.2,64.41,59.82,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함"
19,직산읍,서북구,읍,18957,3837,20.24,700,18.24,386,2.04,18,3,4.69,33.9,75.34,87.65,59.16,C,관심,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
20,풍세면,동남구,면,10557,2216,20.99,348,15.7,121,1.15,5,3,2.26,26.53,78.4,93.57,58.1,C,관심,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
21,성정2동,서북구,동,24417,3518,14.41,770,21.89,551,2.26,50,0,14.21,34.85,82.1,67.54,57.93,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
22,신방동,동남구,동,42607,5449,12.79,776,14.24,551,1.29,41,0,7.52,23.66,90.53,75.13,57.36,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
23,청룡동,동남구,동,59960,8386,13.99,1086,12.95,945,1.58,56,0,6.68,27.47,91.59,53.3,55.08,C,관심,"고령인구 지원 규모가 큼, 공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함"
24,쌍용2동,서북구,동,33638,4947,14.71,518,10.47,504,1.5,31,0,6.27,19.85,92.1,66.92,54.55,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
25,쌍용1동,서북구,동,12178,2848,23.39,356,12.5,231,1.9,50,0,17.56,26.77,77.88,60.01,51.31,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함"
26,부성1동,서북구,동,56813,5223,9.19,602,11.53,565,0.99,38,0,7.28,16.48,90.83,54.12,50.03,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함"
27,백석동,서북구,동,40263,3754,9.32,257,6.85,444,1.1,27,0,7.19,8.68,90.94,66.12,48.96,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
28,신안동,동남구,동,39066,6486,16.6,837,12.9,471,1.21,109,0,16.81,25.68,78.83,39.74,47.1,C,관심,"공공 보건기관이 부족함, 고령인구 지원 규모가 큼, 고령인구 대비 의료기관이 부족함"
29,부성2동,서북구,동,63877,3737,5.85,352,9.42,521,0.82,57,0,15.25,8.91,80.79,69.43,46.17,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함"
30,불당1동,서북구,동,31541,2234,7.08,192,8.59,235,0.75,27,0,12.09,6.46,84.77,54.27,43.43,D,일반,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함"
31,불당2동,서북구,동,37287,1528,4.1,131,8.57,228,0.61,91,0,59.55,3.07,25.0,66.6,23.45,D,일반,"공공 보건기관이 부족함, 대중교통 접근성이 취약함"
