연번,노선번호,운수업체명,1회운행거리(km_편도기준),1일운행횟수(회_편도기준),비고,데이터기준일자
1,1,"보성,삼안,새천안",21.3,103,,2026-03-10
2,2,"보성,삼안,새천안",23.3,55,편도,2026-03-10
3,3,"보성,삼안,새천안",24.9,42,편도,2026-03-10
4,5,"보성,삼안,새천안",21.3,96,,2026-03-10
5,6,"보성,삼안,새천안",22,47,편도,2026-03-10
6,7,"보성,삼안,새천안",22.6,55,편도,2026-03-10
7,9,"보성,삼안,새천안",9,31,,2026-03-10
8,10,"보성,삼안,새천안",20.8,22,,2026-03-10
9,11,"보성,삼안,새천안",16.2,96,,2026-03-10
10,12,"보성,삼안,새천안",14.9,140,,2026-03-10
11,13,"보성,삼안,새천안",13.4,131,,2026-03-10
12,14,"보성,삼안,새천안",16.5,151,,2026-03-10
13,15,"보성,삼안,새천안",19.2,22,,2026-03-10
14,19,"보성,삼안,새천안",14.2,13,,2026-03-10
15,20,"보성,삼안,새천안",14.7,90,,2026-03-10
16,21,"보성,삼안,새천안",16.6,79,,2026-03-10
17,24,"보성,삼안,새천안",14.3,80,,2026-03-10
18,30,"보성,삼안,새천안",22.4,10,,2026-03-10
19,31,"보성,삼안,새천안",18.5,10,,2026-03-10
20,51,"보성,삼안,새천안",9.2,21,,2026-03-10
21,52,"보성,삼안,새천안",7.9,22,,2026-03-10
22,55,"보성,삼안,새천안",7.5,4,,2026-03-10
23,62,"보성,삼안,새천안",11,14,,2026-03-10
24,63,"보성,삼안,새천안",7.2,12,,2026-03-10
25,70,"보성,삼안,새천안",10.3,8,,2026-03-10
26,71,"보성,삼안,새천안",26.7,10,편도,2026-03-10
27,72,"보성,삼안,새천안",31.2,2,,2026-03-10
28,80,"보성,삼안,새천안",19.9,27,편도,2026-03-10
29,81,"보성,삼안,새천안",13.7,96,,2026-03-10
30,82,"보성,삼안,새천안",19.5,8,,2026-03-10
31,83,"보성,삼안,새천안",20.6,6,,2026-03-10
32,85,"보성,삼안,새천안",17.8,33,,2026-03-10
33,87,"보성,삼안,새천안",28.9,39,편도,2026-03-10
34,88,"보성,삼안,새천안",13.3,48,,2026-03-10
35,90,"보성,삼안,새천안",10.3,89,,2026-03-10
36,91,"보성,삼안,새천안",8.8,1,편도,2026-03-10
37,92,"보성,삼안,새천안",11,2,편도,2026-03-10
38,93,"보성,삼안,새천안",4.5,1,편도,2026-03-10
39,94,"보성,삼안,새천안",16.6,2,편도,2026-03-10
40,95,"보성,삼안,새천안",23,1,편도,2026-03-10
