노선번호,순번,정류장코드,정류장번호_full,정류장명_크롤링,정류장명_마스터,읍면동,매칭상태,운수업체명,1일운행횟수,데이터기준일자,출처URL
1,1,71398,CAB285071398,천안시청,천안시청,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,2,1502,CAB285001502,천안시청,천안시청,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,3,1016,CAB285001016,천안시청 서북구보건소,천안시청 서북구보건소,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,4,1015,CAB285001015,천안시청 서북구보건소,천안시청 서북구보건소,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,5,1792,CAB285001792,불당동일하이빌,불당동일하이빌,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,6,1791,CAB285001791,불당동일하이빌,불당동일하이빌,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,7,1789,CAB285002789,불당대동다숲,불당대동다숲,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,8,1790,CAB285001790,불당동행정복지센터,불당1동행정복지센터,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,9,1988,CAB285001988,불당한성아파트,불당한성아파트,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,10,1987,CAB285001987,불당한성아파트,불당한성아파트,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,11,1984,CAB285001984,천안교육지원청,천안교육지원청,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,12,71672,CAB285071672,천안교육지원청,천안교육지원청,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,13,1985,CAB285001985,충남북부상공회의소,충남북부상공회의소,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,14,2181,CAB288002181,충남북부상공회의소,충남북부상공회의소,불당1동,code_name_exact,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,15,2050,CAB285002050,패션1광장,장애인체육관,원성1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,16,2116,CAB285002116,펜타포트,펜타포트,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,17,2115,CAB285002115,불당시티프라디움3차,불당시티프라디움3차,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
1,18,1788,CAB285001788,서당골,서당골,불당1동,code_unique,"보성,삼안,새천안",103,2026-03-10,https://namu.wiki/w/%EC%B2%9C%EC%95%88%20%EB%B2%84%EC%8A%A4%201
