정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,시도,시군구,읍면동
CAB285000452,신세계아파트,36.76774465,127.3049241,2025-10-31,452,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285000453,신세계아파트,36.76761812,127.3050533,2025-10-31,453,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285000454,도원1리,36.76974727,127.3086953,2025-10-31,454,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285000455,도원1리(면실부락),36.77156132,127.3106874,2025-10-31,455,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285000456,도원1리(면실부락),36.77178281,127.3111737,2025-10-31,456,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285000457,도원2리(광기),36.780225,127.3155831,2025-10-31,457,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285000458,도원3리(가정),36.7876214,127.316647,2025-10-31,458,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285000459,매성3리(매당마을),36.79983693,127.3190532,2025-10-31,459,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285000460,작성마을,36.80303117,127.31979,2025-10-31,460,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285000461,봉항1리,36.82914699,127.3154068,2025-10-31,461,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285000462,봉항2리(삼성),36.83680476,127.3158464,2025-10-31,462,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285000463,봉항3리,36.84412808,127.3187824,2025-10-31,463,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285000464,동천안농협 연춘지점,36.7703059,127.2528996,2025-10-31,464,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000465,용암리,36.7805227,127.2543909,2025-10-31,465,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000466,용암1리,36.78352786,127.2558871,2025-10-31,466,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000467,은석초교,36.78676141,127.2584057,2025-10-31,467,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000468,용암리,36.79608963,127.2616741,2025-10-31,468,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000469,용암2리,36.79833299,127.2643524,2025-10-31,469,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000470,매송1리,36.80127132,127.2681824,2025-10-31,470,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000471,매송1리,36.801156,127.2681968,2025-10-31,471,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000472,매송1리 느러니,36.80586295,127.2737824,2025-10-31,472,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000473,매송1리 오송정,36.81126015,127.2763987,2025-10-31,473,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000474,매송1리 오송정,36.81130798,127.2761958,2025-10-31,474,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000475,명덕리,36.81603075,127.2757311,2025-10-31,475,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000476,동천안농협 북면지점,36.82294342,127.2731992,2025-10-31,476,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000477,동천안농협 북면지점,36.82297412,127.2729644,2025-10-31,477,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000478,북면행정복지센터,36.82708617,127.2726974,2025-10-31,478,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000479,솔바람가든,36.83141991,127.2711972,2025-10-31,479,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000480,사담리,36.83520747,127.2682739,2025-10-31,480,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000481,사담리,36.83526666,127.2684368,2025-10-31,481,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000482,양곡리입구(별장골),36.83931477,127.2696673,2025-10-31,482,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000483,양곡리(종점),36.8510182,127.281975,2025-10-31,483,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000484,전곡리,36.84785517,127.2662247,2025-10-31,484,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000485,전곡리,36.84812383,127.2665189,2025-10-31,485,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000486,전곡리(길마제),36.85094498,127.2666783,2025-10-31,486,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000487,납안리,36.85337826,127.2661915,2025-10-31,487,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000488,납안리,36.85393799,127.2663707,2025-10-31,488,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000489,납안1리,36.85545069,127.2664033,2025-10-31,489,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000490,유성농장입구,36.85644965,127.2591458,2025-10-31,490,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000491,납안2리,36.8534604,127.2512805,2025-10-31,491,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000492,석천리(종점),36.83680715,127.2404039,2025-10-31,492,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000493,석천리(종점),36.8368444,127.240209,2025-10-31,493,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000494,석천리,36.83370692,127.235812,2025-10-31,494,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000495,석천리,36.83096384,127.2331531,2025-10-31,495,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000496,송전리,36.82741279,127.2294597,2025-10-31,496,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000497,덕전2리,36.81621834,127.2252343,2025-10-31,497,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000498,덕전2리,36.81617748,127.2250103,2025-10-31,498,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000499,덕전1리,36.8093431,127.2214237,2025-10-31,499,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000500,덕전1리,36.806688,127.204712,2025-10-31,500,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000501,덕전1리(심평마을),36.8086088,127.2158433,2025-10-31,501,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000502,덕전1리(용소),36.80863405,127.2249326,2025-10-31,502,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000503,서흥2리,36.80712078,127.2310853,2025-10-31,503,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000504,서흥2리(상용),36.80724624,127.2312018,2025-10-31,504,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000505,서흥1리(동막),36.8045089,127.2321796,2025-10-31,505,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000506,교촌2리,36.8003965,127.2294318,2025-10-31,506,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000507,희망의마을,36.7969045,127.2318704,2025-10-31,507,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000508,교촌1리,36.7918116,127.2323528,2025-10-31,508,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000509,신광교회,36.78943155,127.2345631,2025-10-31,509,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000510,노루목,36.77117873,127.2478347,2025-10-31,510,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000511,노루목,36.77138629,127.2478124,2025-10-31,511,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,북면
CAB285000512,동평3리,36.77533628,127.2433091,2025-10-31,512,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000513,동평2리,36.77700629,127.2425457,2025-10-31,513,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000514,동평2리,36.7770241,127.2423773,2025-10-31,514,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000515,동리입구,36.7809388,127.2401916,2025-10-31,515,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000516,동리,36.78096123,127.2403408,2025-10-31,516,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000517,목천농협,36.784418,127.2358572,2025-10-31,517,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000518,"목천읍행정복지센터,국립청소년수련원",36.78428611,127.2353478,2025-10-31,518,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000519,목천중고등학교,36.7811446,127.2335824,2025-10-31,519,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000520,독립기념관 동문,36.78034187,127.2328387,2025-10-31,520,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285000521,독립기념관 동문,36.77989207,127.2325413,2025-10-31,521,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285001755,성환문화회관,36.91172292,127.1367313,2025-10-31,1755,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285001756,성환문화회관,36.91185463,127.1366524,2025-10-31,1756,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285001757,백석사거리,36.8185896,127.1309541,2025-10-31,1757,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,봉명동
CAB285001758,백석사거리,36.81699131,127.1308491,2025-10-31,1758,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,봉명동
CAB285001759,봉서초등학교,36.81435129,127.1299024,2025-10-31,1759,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,봉명동
CAB285001760,봉서초등학교,36.81519796,127.1304407,2025-10-31,1760,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,봉명동
CAB285001761,시영1차아파트,36.8073613,127.1282357,2025-10-31,1761,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,쌍용3동
CAB285001762,시영1차아파트,36.80877299,127.1288524,2025-10-31,1762,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,쌍용1동
CAB285001763,광명아파트,36.80084289,127.1269243,2025-10-31,1763,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,쌍용1동
CAB285001764,연세우일치과병원,36.79856963,127.1262974,2025-10-31,1764,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,쌍용1동
CAB285001765,일봉동행정복지센터,36.80103683,127.1426352,2025-10-31,1765,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,일봉동
CAB285001767,청당벽산아파트,36.78110798,127.1593924,2025-10-31,1767,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,청룡동
CAB285001768,남부고가교(천안국빈장례식장),36.783375,127.143123,2025-10-31,1768,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,일봉동
CAB285001769,남부고가교,36.7829315,127.1432912,2025-10-31,1769,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,신방동
CAB285001770,태학산자연휴양림,36.73064195,127.0916839,2025-10-31,1770,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285001771,매당2리,36.7031986,127.1058593,2025-10-31,1771,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,광덕면
CAB285001772,매당2리,36.7031092,127.1060837,2025-10-31,1772,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,광덕면
