date,district,dong,station,pm25_actual,pm25_source,pm25_confidence,weather_source,total_risk,mean_risk,max_risk,is_warning,high_risk_diseases,temp,humidity
2026-08-08,동남구,목천읍,신방동,20.2,낮음,medium,예보없음(시뮬레이션폴백),64.7,50.1,79.3,True,알레르기성 접촉피부염(79.3점),26.5,89.0
2026-08-06,동남구,병천면,수신면,20.8,낮음,medium,단기예보(실측기반),63.9,47.3,80.6,True,알레르기성 접촉피부염(80.6점),29.2,74.0
2026-08-07,동남구,병천면,수신면,20.5,낮음,medium,단기예보(실측기반),63.0,46.4,79.7,True,알레르기성 접촉피부염(79.7점),29.2,70.6
2026-08-08,동남구,원성1동,성황동,20.0,낮음,medium,예보없음(시뮬레이션폴백),62.3,41.9,82.7,True,알레르기성 접촉피부염(82.7점),29.5,82.0
2026-08-05,동남구,병천면,수신면,19.3,예보없음(지속성가정),low,단기예보(실측기반),62.1,44.4,79.8,True,알레르기성 접촉피부염(79.8점),28.2,79.0
2026-08-08,서북구,성거읍,성거읍,19.4,낮음,medium,예보없음(시뮬레이션폴백),62.0,42.7,81.3,True,알레르기성 접촉피부염(81.3점),29.5,87.0
2026-08-04,동남구,병천면,수신면,19.0,실시간,high,단기예보(실측기반),60.4,39.6,81.2,True,알레르기성 접촉피부염(81.2점),30.4,72.2
2026-08-08,동남구,청룡동,신방동,20.2,낮음,medium,예보없음(시뮬레이션폴백),59.1,39.1,79.2,True,알레르기성 접촉피부염(79.2점),28.5,76.0
2026-08-06,동남구,목천읍,신방동,20.4,낮음,medium,단기예보(실측기반),57.8,33.8,81.8,True,알레르기성 접촉피부염(81.8점),30.8,64.6
2026-08-07,동남구,목천읍,신방동,20.3,낮음,medium,단기예보(실측기반),57.8,33.9,81.7,True,알레르기성 접촉피부염(81.7점),30.9,64.4
2026-08-05,동남구,목천읍,신방동,18.7,예보없음(지속성가정),low,단기예보(실측기반),57.7,33.3,82.0,True,알레르기성 접촉피부염(82.0점),29.8,72.3
2026-08-06,서북구,성환읍,성성동,19.7,낮음,medium,단기예보(실측기반),57.6,34.1,81.1,True,알레르기성 접촉피부염(81.1점),30.3,69.4
2026-08-06,동남구,신방동,신방동,20.4,낮음,medium,단기예보(실측기반),57.5,32.6,82.3,True,알레르기성 접촉피부염(82.3점),30.8,66.2
2026-08-06,동남구,청룡동,신방동,20.4,낮음,medium,단기예보(실측기반),57.5,32.6,82.3,True,알레르기성 접촉피부염(82.3점),30.8,66.2
