date,district,dong,station,pm25_actual,pm25_source,pm25_confidence,weather_source,total_risk,본태성(원발성) 고혈압,급성 상기도감염,급성 기관지염,혈관운동성 및 알레르기성 비염,천식,위염 및 십이지장염,알레르기성 접촉피부염,무릎관절증,등통증
2026-08-04,동남구,목천읍,신방동,18.0,실시간,high,단기예보(실측기반),56.4,36.0,16.0,17.3,15.7,13.2,19.9,83.5,34.1,27.9
2026-08-04,동남구,병천면,수신면,19.0,실시간,high,단기예보(실측기반),60.4,43.9,26.9,28.0,28.4,28.6,31.4,81.2,44.7,43.5
2026-08-04,동남구,신방동,신방동,18.0,실시간,high,단기예보(실측기반),54.6,33.1,13.2,14.6,12.1,10.0,16.3,83.4,29.0,21.3
2026-08-04,동남구,원성1동,성황동,17.0,실시간,high,단기예보(실측기반),53.1,30.9,11.6,12.7,10.3,10.0,15.3,82.1,25.7,18.1
2026-08-04,동남구,청룡동,신방동,18.0,실시간,high,단기예보(실측기반),54.6,33.1,13.2,14.6,12.1,10.0,16.3,83.4,29.0,21.3
2026-08-04,서북구,성환읍,성성동,16.0,실시간,high,단기예보(실측기반),54.8,33.2,13.7,14.0,13.1,14.6,20.0,82.4,29.6,24.6
2026-08-04,서북구,성거읍,성거읍,12.0,실시간,high,단기예보(실측기반),47.7,25.1,10.0,10.0,10.0,10.0,14.4,74.5,20.0,13.5
2026-08-04,서북구,백석동,백석동,19.0,실시간,high,단기예보(실측기반),55.1,33.8,13.7,15.5,12.3,10.2,16.3,84.0,28.7,20.8
2026-08-04,서북구,불당동,성성동,16.0,실시간,high,단기예보(실측기반),51.2,29.9,11.4,12.2,10.0,10.0,15.5,79.2,24.5,17.0
2026-08-04,서북구,성성동,성성동,16.0,실시간,high,단기예보(실측기반),51.4,29.3,10.8,11.6,10.0,10.0,14.8,79.8,23.9,16.2
2026-08-05,동남구,목천읍,신방동,18.7,예보없음(지속성가정),low,단기예보(실측기반),57.7,39.0,20.5,21.7,21.1,18.4,24.3,82.0,38.7,34.3
2026-08-05,동남구,병천면,수신면,19.3,예보없음(지속성가정),low,단기예보(실측기반),62.1,46.8,32.3,33.0,35.0,36.8,37.0,79.8,49.0,50.0
2026-08-05,동남구,신방동,신방동,18.7,예보없음(지속성가정),low,단기예보(실측기반),56.4,36.6,17.8,19.1,17.8,15.2,21.1,82.4,34.7,29.0
2026-08-05,동남구,원성1동,성황동,18.1,예보없음(지속성가정),low,단기예보(실측기반),54.7,34.3,15.7,16.7,15.2,14.3,19.6,81.3,31.0,24.9
2026-08-05,동남구,청룡동,신방동,18.7,예보없음(지속성가정),low,단기예보(실측기반),56.4,36.6,17.8,19.1,17.8,15.2,21.1,82.4,34.7,29.0
2026-08-05,서북구,성환읍,성성동,17.5,예보없음(지속성가정),low,단기예보(실측기반),56.9,36.7,18.0,18.2,18.6,20.4,24.6,82.0,35.1,32.2
2026-08-05,서북구,성거읍,성거읍,15.1,예보없음(지속성가정),low,단기예보(실측기반),49.7,29.0,13.3,13.2,13.6,13.6,18.6,74.7,25.6,20.2
2026-08-05,서북구,백석동,백석동,19.3,예보없음(지속성가정),low,단기예보(실측기반),56.7,37.1,18.1,19.9,17.8,14.9,20.8,82.9,34.4,28.3
2026-08-05,서북구,불당동,성성동,17.5,예보없음(지속성가정),low,단기예보(실측기반),53.3,33.6,15.7,16.5,15.3,13.7,19.8,78.9,30.9,24.9
2026-08-05,서북구,성성동,성성동,17.5,예보없음(지속성가정),low,단기예보(실측기반),53.3,32.9,14.8,15.6,14.7,13.5,18.9,79.5,29.7,23.5
2026-08-06,동남구,목천읍,신방동,20.4,낮음,medium,단기예보(실측기반),57.8,40.1,21.6,23.7,22.2,16.4,23.5,81.8,40.5,34.8
2026-08-06,동남구,병천면,수신면,20.8,낮음,medium,단기예보(실측기반),63.9,49.1,35.4,36.6,39.2,38.1,38.6,80.6,53.1,54.8
2026-08-06,동남구,신방동,신방동,20.4,낮음,medium,단기예보(실측기반),57.5,39.0,20.4,22.4,20.6,15.7,22.4,82.3,38.3,32.4
2026-08-06,동남구,원성1동,성황동,20.1,낮음,medium,단기예보(실측기반),56.9,38.1,19.7,21.3,19.8,17.1,22.7,81.8,36.5,31.2
2026-08-06,동남구,청룡동,신방동,20.4,낮음,medium,단기예보(실측기반),57.5,39.0,20.4,22.4,20.6,15.7,22.4,82.3,38.3,32.4
2026-08-06,서북구,성환읍,성성동,19.7,낮음,medium,단기예보(실측기반),57.6,39.4,21.4,22.4,21.9,21.4,26.1,81.1,38.2,34.8
